ID	Name	LossMedian	DowntimeMedian	RedTagProbability	LossP10	LossP90	DowntimeP16	DowntimeP84	HurtMedian	HurtP16	HurtP84	DeathMedian	DeathP16	DeathP84
89	bld-89	222823	29.7466	0	155291	323860	21.3615	42.0287	0.0142857	0.0142857	0.0142857	0.0025	0.0025	0.0025	
90	bld-90	555949	179	0.456	433321	778544	144.821	179	0.00714286	0.00714286	0.00714286	0.00125	0.00125	0.00125	
91	bld-91	66201.9	15.2613	0	41973.1	96319.7	8.39893	33.7399	6.25e-06	0	1.25e-05	0	0	0	
92	bld-92	192164	179	0.6	136217	268869	175.271	179	0.0119048	0.0119048	0.0119256	0.00208333	0.00208333	0.00208333	
93	bld-93	992664	179	0.593	710155	1.39247e+06	167.446	179	0.0119256	0.0119048	0.0119256	0.00208333	0.00208333	0.00208333	
94	bld-94	339870	179	0.488	257623	462460	179	179	0.0178571	0.00908482	0.0178571	0.003125	0.00157812	0.003125	
95	bld-95	1.01096e+06	179	0.598	733575	1.41776e+06	172.548	179	0.0119256	0.0119048	0.0119256	0.00208333	0.00208333	0.00208333	
96	bld-96	172249	179	0.597	121622	233774	161.581	179	0.0119048	0.0119048	0.0119256	0.00208333	0.00208333	0.00208333	
97	bld-97	1.29646e+06	179	0.345	1.00783e+06	1.66125e+06	179	179	0.0143357	0.0142982	0.0144107	0.0025	0.0025	0.0025125	
98	bld-98	2.29216e+06	179	0.237	1.81625e+06	2.9512e+06	179	179	0.0120089	0.0120089	0.0120089	0.00209375	0.00209375	0.00209375	
99	bld-99	47194.9	17.5437	0	28114.6	71465.1	8.91217	38.9422	6.25e-06	0	1.25e-05	0	0	0	
100	bld-100	63.6486	0	0	0	3428.23	0	0	0	0	0	0	0	0	
101	bld-101	182566	71.9151	0.17	123897	276143	50.9964	102.038	0.00714286	0.00714286	0.00714286	0.00125	0.00125	0.00125	
102	bld-102	133434	33.7897	0.012	87680.8	191497	23.4879	47.407	0.0142857	0.0142857	0.0142857	0.0025	0.0025	0.0025	
103	bld-103	87515.9	39.0509	0	55721.7	129905	21.2673	91.602	1.07143e-05	3.57143e-06	2.14286e-05	0	0	1.78571e-06	
104	bld-104	9982.32	2.5441	0	4473.35	19069.6	0.452075	14.6355	1.25e-05	0	1.25e-05	0	0	0	
105	bld-105	46717.2	33.6098	0.028	28614.4	70912.7	21.9252	49.4386	0.0142857	0.0142857	0.0142857	0.0025	0.0025	0.0025	
106	bld-106	0	0	0.001	0	2177.89	0	0	0	0	0	0	0	0	
107	bld-107	0	0	0	0	1205.75	0	0	0	0	0	0	0	0	
108	bld-108	470.479	0	0.002	0	20271	0	16.8175	0	0	0	0	0	0	
109	bld-109	249811	179	0.596	177293	354990	174.796	179	0.0119048	0.0119048	0.0119256	0.00208333	0.00208333	0.00208333	
110	bld-110	443847	169.902	0.587	312908	617064	124.481	179	0.0047619	0.0047619	0.00477024	0.000833333	0.000833333	0.000833333	
111	bld-111	42825.8	11.1213	0	22433.1	68393.7	5.63449	27.8576	0	0	6.25e-06	0	0	0	
112	bld-112	99595.9	74.5633	0.167	64337.5	152231	50.4426	112.502	0.00357143	0.00357143	0.00357143	0.000625	0.000625	0.000625	
113	bld-113	61702.8	12.8248	0	32158	114279	6.27162	29.1972	0	0	4.16667e-06	0	0	0	
114	bld-114	16547.5	11.1618	0	5176.6	31994.9	3.35699	23.8415	0	0	8.33333e-06	0	0	0	
115	bld-115	148981	69.6384	0.163	100907	230243	48.5917	99.3651	0.00714286	0.00714286	0.00714286	0.00125	0.00125	0.00125	
116	bld-116	215112	33.5932	0.013	144933	317228	23.7424	48.0368	0.0142857	0.0142857	0.0142857	0.0025	0.0025	0.0025	
117	bld-117	0	0	0	0	2528.71	0	0	0	0	0	0	0	0	
118	bld-118	107945	11.0619	0	68213.8	157808	6.30919	47.3771	6.94444e-06	0	2.77778e-05	0	0	0	
119	bld-119	61989.5	13.5866	0	37268.4	91207.4	6.74236	45.8836	8.33333e-06	0	8.33333e-06	0	0	0	
120	bld-120	346.927	0	0	0	5041.63	0	0	0	0	0	0	0	0	
121	bld-121	160.021	0	0	0	3956.18	0	0	0	0	0	0	0	0	
122	bld-122	875.545	0	0	0	6863.41	0	0.455325	0	0	0	0	0	0	
123	bld-123	0	0	0	0	2942.87	0	0	0	0	0	0	0	0	
124	bld-124	0	0	0	0	1694.43	0	0	0	0	0	0	0	0	
125	bld-125	68241	10.9288	0	42926.9	102949	5.38465	44.6503	0	0	8.33333e-06	0	0	0	
126	bld-126	805243	75.4623	0.167	546941	1.17046e+06	54.3518	114.475	0.00714286	0.00714286	0.00714286	0.00125	0.00125	0.00125	
127	bld-127	238527	8.1036	0	173127	314612	4.26146	15.4387	8.33333e-06	0	8.33333e-06	0	0	0	
128	bld-128	26521.4	13.1655	0	13339.7	43553.1	5.0126	29.5699	8.33333e-06	0	8.33333e-06	0	0	0	
129	bld-129	50903.7	17.5774	0	35477.3	74486.5	6.3468	103.565	1.04167e-05	1.04167e-05	5.72917e-05	0	0	5.20833e-06	
130	bld-130	32127.2	10.3327	0	13781.7	57358.8	4.28515	31.8967	0	0	1.04167e-05	0	0	0	
131	bld-131	409521	171.28	0.548	283082	583037	124.661	179	0.0047619	0.0047619	0.00477024	0.000833333	0.000833333	0.000833333	
132	bld-132	301594	68.9568	0.085	201766	426277	49.3447	97.9332	0.00714286	0.00714286	0.00714286	0.00125	0.00125	0.00125	
133	bld-133	204.43	0	0	0	12978.2	0	13.866	0	0	0	0	0	0	
134	bld-134	146.199	0	0	0	12085.3	0	4.30071	0	0	0	0	0	0	
135	bld-135	14129.8	15.0622	0	3075.57	35600.3	5.12879	140.52	0	0	1.04167e-05	0	0	0	
136	bld-136	56.7306	0	0	0	3417.67	0	0.326315	0	0	0	0	0	0	
137	bld-137	20830.5	11.274	0	4718.79	44981.8	4.26522	102.351	0	0	1.04167e-05	0	0	0	
138	bld-138	588792	8.18267	0	474437	751432	5.03371	16.1663	7.5e-05	6.875e-05	0.00013125	6.25e-06	6.25e-06	1.25e-05	
139	bld-139	2.82251e+06	179	0.421	2.09761e+06	3.96875e+06	143.744	179	0.00714286	0.00714286	0.00714286	0.00125	0.00125	0.00125	
