ID	Name	QuantityMedian	LossMedian	DowntimeMedian	QuantityMean	LossMean	DowntimeMean
	B1052.011z	0	0	0	0	0	0
	B1052.011zu	0	0	0	0	0	0
	B1071.001	0	0	0	0	0	0
	B2011.011az	13.1046	0	0	16.0868	0	0
	B3011.011z	18.6388	0	0	18.6388	92.8433	0.289456
	BI.C.01.04	25.8661	0	0	25.8661	19.8	0.0276
	BI.D.02.03	0.458941	0	0	0.549293	193.104	0.321856
	BI.L.01.02	115.742	0	0	116.765	125.711	0.0439729
	BI.P.01.03	6.53267	0	0	6.61969	69.3664	0.00557785
	C.F.KL	48.9548	0	0	53.8167	5.00001	0.025
	C.F.KZ	49.6953	0	0	55.0577	10	0.0556
	C.S.Q	0	0	0	0	0	0
	E2022.001u	0	0	0	0	0	0
	E2022.020z	82.9157	359.208	0	92.7903	459.69	0
	E2022.022z	147.179	2671.71	0	160.991	3369.3	0
	MEP.L.01.01	0.165284	447.867	0.533368	0.246117	2006.91	2.39005
	MEP.M.06.06	0.76574	0	0	0.77322	0	0
	MEP.M.06.08	0.391318	0	0	0.402478	0	0
	MEP.M.07.03	12.3595	0	0	12.4019	99	0.03177
	MEP.M.08.01	1.51573	0	0	1.53742	0	0
	MEP.P.01.02	0.15364	0	0	0.155244	0	0
	MEP.P.02.06	0.924226	0	0	0.950022	0	0
	MEP.P.03.02	0.620003	0	0	0.633903	0	0
	MEP.P.06.01	0.76929	0	0	0.778119	36.0083	0.0136091
7	bld-07
	B1035.001	0	0	0	0	0	0
	B1052.011z	0	0	0	0	0	0
	B1052.011zu	0	0	0	0	0	0
	B1071.001	0	0	0	0	0	0
	B2011.011az	1.51814	0	0	1.66629	0	0
	B3011.011z	3.52905	0	0	4.48383	11.0739	0.041694
	BI.C.01.04	0	0	0	0	0	0
	BI.D.02.03	0.36697	907.32	1.5122	0.385167	1227.61	2.02499
	BI.L.01.02	0	0	0	0	0	0
	BI.P.01.03	1.13334	0	0	1.16667	1391.69	0.116438
	C.F.KL	0	0	0	0	0	0
	C.F.KZ	0	0	0	0	0	0
	C.S.Q	3.69548	0	0	3.84969	916.624	1.84156
	E2022.001u	0	0	0	0	0	0
	E2022.020z	23.772	0	0	25.5381	96.7874	0
	E2022.022z	3.8328	0	0	4.17097	59.5212	0
	MEP.L.01.01	0.0360391	97.1732	0.115725	0.0447049	300.979	0.358439
	MEP.M.06.06	0.0502522	0	0	0.055927	0.00371402	3.61628e-05
	MEP.M.06.08	0	0	0	0	0	0
	MEP.M.07.03	0.783886	0	0	0.818772	17.7461	0.00569488
	MEP.M.08.01	0.374424	0	0	0.374424	0	0
	MEP.P.01.02	0.0143187	0	0	0.0144564	0	0
	MEP.P.02.06	0.206655	0	0	0.21482	0.0431174	3.17657e-05
	MEP.P.03.02	0.117556	0	0	0.121805	0	0
	MEP.P.06.01	0.113126	0	0	0.113072	6.99574	0.00313709
8	bld-08
	B1035.001	0	0	0	0	0	0
	B1052.011z	0	0	0	0	0	0
	B1052.011zu	0	0	0	0	0	0
	B1071.001	0	0	0	0	0	0
	B2011.011az	3.86914	0	0	4.26712	0	0
	B3011.011z	8.63854	0	0	11.0849	26.7484	0.0801728
	BI.C.01.04	0	0	0	0	0	0
	BI.D.02.03	0.919673	2345.17	3.9086	0.974312	3024.97	4.99514
	BI.L.01.02	0	0	0	0	0	0
	BI.P.01.03	2.89132	0	0	2.94796	3445.59	0.288085
	C.F.KL	0	0	0	0	0	0
	C.F.KZ	0	0	0	0	0	0
	C.S.Q	9.12497	2021	4.2	9.56747	2307.36	4.60825
	E2022.001u	0	0	0	0	0	0
	E2022.020z	58.6818	165.896	0	66.55	235.689	0
	E2022.022z	9.66862	0	0	10.6666	175.682	0
	MEP.L.01.01	0.0907757	167.365	0.199316	0.110258	700.833	0.834628
	MEP.M.06.06	0.13094	0	0	0.143049	0.0816473	0.000794988
	MEP.M.06.08	0	0	0	0	0	0
	MEP.M.07.03	1.9679	0	0	2.04492	8.3403	0.00267648
	MEP.M.08.01	0.940566	0	0	0.940566	15.5193	0.00827699
	MEP.P.01.02	0.0358081	0	0	0.0362089	0	0
	MEP.P.02.06	0.521104	0	0	0.541488	0	0
	MEP.P.03.02	0.294551	0	0	0.306858	0	0
	MEP.P.06.01	0.282501	0	0	0.283691	17.6406	0.00788523
9	bld-09
	B1035.001	0	0	0	0	0	0
	B1052.011z	0	0	0	0	0	0
	B1052.011zu	0	0	0	0	0	0
	B1071.001	0	0	0	0	0	0
	B2011.011az	3.92642	0	0	4.32565	0	0
	B3011.011z	8.92802	0	0	11.3838	25.4662	0.111582
	BI.C.01.04	0	0	0	0	0	0
	BI.D.02.03	0.978995	2478.16	4.13026	1.02921	3232.45	5.33366
	BI.L.01.02	0	0	0	0	0	0
	BI.P.01.03	3.01714	0	0	3.09537	3518.92	0.29449
	C.F.KL	0	0	0	0	0	0
	C.F.KZ	0	0	0	0	0	0
	C.S.Q	9.49946	2021	4.2	9.85635	2394.75	4.73183
	E2022.001u	0	0	0	0	0	0
	E2022.020z	59.7924	169.892	0	67.0831	229.127	0
	E2022.022z	9.92256	0	0	10.8432	153.046	0
	MEP.L.01.01	0.0919276	291.508	0.347159	0.112359	762.091	0.907582
	MEP.M.06.06	0.13237	0	0	0.145451	0.0484078	0.000471339
	MEP.M.06.08	0	0	0	0	0	0
	MEP.M.07.03	2.02733	0	0	2.09624	53.169	0.0170624
	MEP.M.08.01	0.975797	0	0	0.975797	16.1006	0.00858701
	MEP.P.01.02	0.0370318	0	0	0.0373397	0	0
	MEP.P.02.06	0.542096	0	0	0.565514	0	0
	MEP.P.03.02	0.313113	0	0	0.322787	0	0
	MEP.P.06.01	0.293501	0	0	0.29422	17.153	0.00820133
10	bld-10
	B1035.001	0	0	0	0	0	0
	B1052.011z	0	0	0	0	0	0
